Por uso de Luz,Plana Luz,Noche Luz
"La energía que consumes  siempre al mismo precio, las 24h, todos los días de las semana. Precio estable durante 12 meses.",Cuota fija durante 12 meses. Cuota personalizada en base a tu consumo de los últimos 12 meses.,"Un precio diferente por cada tramo horario de Punta, Llano y Valle. Aprovecha cuando el precio es más bajo y ahorra."
2.0 TD,2.0 TD,2.0 TD
Paga por lo que consumes,La misma cuota fija cada mes,Tarifa con discriminación horaria
"0,114900 €/kWh0,146137 €/kWh",Personalizado según tu historial de consumo,"Punta: 0,170000€/kWhLlano: 0,116200€/kWhValle: 0,082100€/kWhPunta: 0,216217€/kWhLlano: 0,147791€/kWhValle: 0,104420€/kWh"
"Punta: 0,103663 €/kW*díaValle: 0,034042 €/kW*día
Punta: 0,131845 €/kW*díaValle: 0,043297 €/kW*día",Ya incluido en tu cuota personalizada,"Punta: 0,103663€/kWhValle: 0,034042€/kWh
Punta: 0,131845€/kWhValle: 0,043297€/kWh"
Sin penalización por permanencia,Sin penalización por permanencia,Sin penalización por permanencia
"Precio final, sin contratar servicios adicionales.","Precio final, sin contratar servicios adicionales.","Precio final, sin contratar servicios adicionales."
